date,hour,temperature_c,cloud_cover_pct,uv_index,wind_speed_kmh,humidity_pct,solar_irradiance_wm2,panel_output_kwh,grid_export_kwh
2025-01-01,0,18.5,35.2,0,10.9,50.3,0,0,0
2025-01-01,1,18.5,20.4,0,13.3,50.9,0,0,0
2025-01-01,2,18.5,24.7,0,14.0,57.8,0,0,0
2025-01-01,3,18.5,29.8,0,9.7,58.5,0,0,0
2025-01-01,4,18.5,52.7,0,7.6,48.0,0,0,0
2025-01-01,5,18.5,62.9,0,14.9,52.9,0,0,0
2025-01-01,6,21.5,35.8,0,8.7,80.8,0,0,0
2025-01-01,7,22.8,0.1,2.07,8.5,41.9,232.7,0.419,0.325
2025-01-01,8,24.1,43.1,2.67,15.2,58.7,288.4,0.519,0
2025-01-01,9,25.2,9.4,5.25,13.9,40.8,586.6,1.055,0.605
2025-01-01,10,26.2,13.7,6.2,14.1,32.7,690.1,1.236,0.87
2025-01-01,11,26.9,3.2,7.54,9.2,72.2,846.1,1.511,1.079
2025-01-01,12,27.3,2.2,7.87,14.5,54.1,883.9,1.576,0.949
2025-01-01,13,27.5,25.5,6.21,9.1,50.8,684.5,1.22,0.218
2025-01-01,14,27.3,25.4,5.57,12.6,35.5,614.5,1.096,0
2025-01-01,15,26.9,13.0,5.09,19.1,38.6,567.6,1.014,0.33
2025-01-01,16,26.2,10.3,3.68,18.4,30,411.4,0.737,0.026
2025-01-01,17,25.2,21.4,1.73,10.5,48.5,191.5,0.344,0
2025-01-01,18,24.1,0,0.0,13.8,44.0,0.0,0.0,0
2025-01-01,19,22.8,22.9,0,11.1,46.2,0,0,0
2025-01-01,20,21.5,27.9,0,20.0,64.3,0,0,0
2025-01-01,21,18.5,25.3,0,17.0,59.2,0,0,0
2025-01-01,22,18.5,19.1,0,2.1,45.5,0,0,0
2025-01-01,23,18.5,35.6,0,9.0,42.8,0,0,0
2025-01-02,0,20.0,36.0,0,11.2,59.9,0,0,0
2025-01-02,1,20.0,38.0,0,5.4,56.9,0,0,0
2025-01-02,2,20.0,45.8,0,12.1,41.8,0,0,0
